phase,videoorimage,repnr,pairtype,distance,leftcolour,rightcolour,winnerlr,leftim,rightim
0,2,0,0,0,3,4,2,practicecar_colour3vscolour4.avi
0,1,0,0,0,3,4,2,practicecar_colour3.png,practicecar_colour4.png
1,1,1,1,0,6,5,1,car_colour6.png,car_colour5.png
1,1,1,2,0,6,7,2,car_colour6.png,car_colour7.png
1,1,1,2,0,8,7,1,car_colour8.png,car_colour7.png
1,1,1,2,0,9,8,1,car_colour9.png,car_colour8.png
1,1,1,1,0,10,9,1,car_colour10.png,car_colour9.png
1,1,1,3,0,1,2,2,car_colour1.png,car_colour2.png
1,1,2,1,0,5,6,2,car_colour5.png,car_colour6.png
1,1,2,2,0,7,6,1,car_colour7.png,car_colour6.png
1,1,2,2,0,7,8,2,car_colour7.png,car_colour8.png
1,1,2,2,0,8,9,2,car_colour8.png,car_colour9.png
1,1,2,1,0,10,9,1,car_colour10.png,car_colour9.png
1,1,2,3,0,2,1,1,car_colour2.png,car_colour1.png
1,1,3,1,0,6,5,1,car_colour6.png,car_colour5.png
1,1,3,2,0,6,7,2,car_colour6.png,car_colour7.png
1,1,3,2,0,8,7,1,car_colour8.png,car_colour7.png
1,1,3,2,0,9,8,1,car_colour9.png,car_colour8.png
1,1,3,1,0,9,10,2,car_colour9.png,car_colour10.png
1,1,3,3,0,2,1,1,car_colour2.png,car_colour1.png
1,1,4,2,0,8,9,2,car_colour8.png,car_colour9.png
1,1,4,1,0,5,6,2,car_colour5.png,car_colour6.png
1,1,4,2,0,8,7,1,car_colour8.png,car_colour7.png
1,1,4,1,0,10,9,1,car_colour10.png,car_colour9.png
1,1,4,3,0,1,2,2,car_colour1.png,car_colour2.png
1,1,4,2,0,6,7,2,car_colour6.png,car_colour7.png
1,1,5,2,0,9,8,1,car_colour9.png,car_colour8.png
1,1,5,2,0,7,8,2,car_colour7.png,car_colour8.png
1,1,5,3,0,1,2,2,car_colour1.png,car_colour2.png
1,1,5,2,0,6,7,2,car_colour6.png,car_colour7.png
1,1,5,1,0,5,6,2,car_colour5.png,car_colour6.png
1,1,5,1,0,10,9,1,car_colour10.png,car_colour9.png
1,1,6,2,0,6,7,2,car_colour6.png,car_colour7.png
1,1,6,3,0,1,2,2,car_colour1.png,car_colour2.png
1,1,6,1,0,10,9,1,car_colour10.png,car_colour9.png
1,1,6,1,0,6,5,1,car_colour6.png,car_colour5.png
1,1,6,2,0,8,7,1,car_colour8.png,car_colour7.png
1,1,6,2,0,8,9,2,car_colour8.png,car_colour9.png
1,1,7,2,0,7,6,1,car_colour7.png,car_colour6.png
1,1,7,1,0,6,5,1,car_colour6.png,car_colour5.png
1,1,7,2,0,9,8,1,car_colour9.png,car_colour8.png
1,1,7,3,0,1,2,2,car_colour1.png,car_colour2.png
1,1,7,2,0,8,7,1,car_colour8.png,car_colour7.png
1,1,7,1,0,9,10,2,car_colour9.png,car_colour10.png
1,1,8,2,0,8,7,1,car_colour8.png,car_colour7.png
1,1,8,2,0,8,9,2,car_colour8.png,car_colour9.png
1,1,8,1,0,6,5,1,car_colour6.png,car_colour5.png
1,1,8,1,0,10,9,1,car_colour10.png,car_colour9.png
1,1,8,2,0,6,7,2,car_colour6.png,car_colour7.png
1,1,8,3,0,1,2,2,car_colour1.png,car_colour2.png
0,2,0,0,0,3,4,2,practicecar_colour3vscolour4.avi
0,1,0,0,0,3,4,2,practicecar_colour3.png,practicecar_colour4.png
2,1,1,3,0,1,2,2,car_colour1.png,car_colour2.png
2,1,1,2,0,8,7,1,car_colour8.png,car_colour7.png
2,1,1,4,2,6,9,2,car_colour6.png,car_colour9.png
2,1,1,4,1,9,7,1,car_colour9.png,car_colour7.png
2,1,1,1,0,6,5,1,car_colour6.png,car_colour5.png
2,1,1,2,0,9,8,1,car_colour9.png,car_colour8.png
2,1,1,4,1,8,6,1,car_colour8.png,car_colour6.png
2,1,1,1,0,10,9,1,car_colour10.png,car_colour9.png
2,1,1,2,0,6,7,2,car_colour6.png,car_colour7.png
2,1,2,2,0,7,8,2,car_colour7.png,car_colour8.png
2,1,2,2,0,8,9,2,car_colour8.png,car_colour9.png
2,1,2,4,1,9,7,1,car_colour9.png,car_colour7.png
2,1,2,1,0,9,10,2,car_colour9.png,car_colour10.png
2,1,2,1,0,5,6,2,car_colour5.png,car_colour6.png
2,1,2,4,2,6,9,2,car_colour6.png,car_colour9.png
2,1,2,2,0,6,7,2,car_colour6.png,car_colour7.png
2,1,2,3,0,2,1,1,car_colour2.png,car_colour1.png
2,1,2,4,1,6,8,2,car_colour6.png,car_colour8.png
2,1,3,1,0,6,5,1,car_colour6.png,car_colour5.png
2,1,3,4,1,7,9,2,car_colour7.png,car_colour9.png
2,1,3,4,2,9,6,1,car_colour9.png,car_colour6.png
2,1,3,2,0,9,8,1,car_colour9.png,car_colour8.png
2,1,3,2,0,6,7,2,car_colour6.png,car_colour7.png
2,1,3,4,1,6,8,2,car_colour6.png,car_colour8.png
2,1,3,3,0,2,1,1,car_colour2.png,car_colour1.png
2,1,3,1,0,9,10,2,car_colour9.png,car_colour10.png
2,1,3,2,0,8,7,1,car_colour8.png,car_colour7.png
2,1,4,4,2,9,6,1,car_colour9.png,car_colour6.png
2,1,4,4,1,6,8,2,car_colour6.png,car_colour8.png
2,1,4,3,0,1,2,2,car_colour1.png,car_colour2.png
2,1,4,4,1,7,9,2,car_colour7.png,car_colour9.png
2,1,4,2,0,7,6,1,car_colour7.png,car_colour6.png
2,1,4,1,0,6,5,1,car_colour6.png,car_colour5.png
2,1,4,2,0,8,7,1,car_colour8.png,car_colour7.png
2,1,4,1,0,9,10,2,car_colour9.png,car_colour10.png
2,1,4,2,0,9,8,1,car_colour9.png,car_colour8.png
